timestamp,UpperRes_min,UpperRes_max,UpperRes_penalty,LowerRes_min,LowerRes_max,LowerRes_penalty
2025-01-01 00:00:00,2.0,9.0,50.0,4.0,16.0,50.0
2025-01-01 01:00:00,2.00071725853521,9.0,50.0,4.0,16.0,50.0
2025-01-01 02:00:00,2.001434516701419,9.0,50.0,4.0,16.0,50.0
2025-01-01 03:00:00,2.002151774129627,9.0,50.0,4.0,16.0,50.0
2025-01-01 04:00:00,2.0028690304508334,9.0,50.0,4.0,16.0,50.0
2025-01-01 05:00:00,2.0035862852960387,9.0,50.0,4.0,16.0,50.0
2025-01-01 06:00:00,2.004303538296244,9.0,50.0,4.0,16.0,50.0
2025-01-01 07:00:00,2.005020789082452,9.0,50.0,4.0,16.0,50.0
2025-01-01 08:00:00,2.0057380372856652,9.0,50.0,4.0,16.0,50.0
2025-01-01 09:00:00,2.0064552825368884,9.0,50.0,4.0,16.0,50.0
2025-01-01 10:00:00,2.0071725244671277,9.0,50.0,4.0,16.0,50.0
2025-01-01 11:00:00,2.007889762707391,9.0,50.0,4.0,16.0,50.0
2025-01-01 12:00:00,2.0086069968886884,9.0,50.0,4.0,16.0,50.0
2025-01-01 13:00:00,2.009324226642031,9.0,50.0,4.0,16.0,50.0
2025-01-01 14:00:00,2.010041451598433,9.0,50.0,4.0,16.0,50.0
2025-01-01 15:00:00,2.010758671388911,9.0,50.0,4.0,16.0,50.0
2025-01-01 16:00:00,2.0114758856444848,9.0,50.0,4.0,16.0,50.0
2025-01-01 17:00:00,2.0121930939961756,9.0,50.0,4.0,16.0,50.0
2025-01-01 18:00:00,2.012910296075009,9.0,50.0,4.0,16.0,50.0
2025-01-01 19:00:00,2.013627491512013,9.0,50.0,4.0,16.0,50.0
2025-01-01 20:00:00,2.0143446799382194,9.0,50.0,4.0,16.0,50.0
2025-01-01 21:00:00,2.0150618609846638,9.0,50.0,4.0,16.0,50.0
2025-01-01 22:00:00,2.015779034282385,9.0,50.0,4.0,16.0,50.0
2025-01-01 23:00:00,2.016496199462426,9.0,50.0,4.0,16.0,50.0
2025-01-02 00:00:00,2.0172133561558345,9.0,50.0,4.0,16.0,50.0
2025-01-02 01:00:00,2.017930503993662,9.0,50.0,4.0,16.0,50.0
2025-01-02 02:00:00,2.018647642606965,9.0,50.0,4.0,16.0,50.0
2025-01-02 03:00:00,2.0193647716268037,9.0,50.0,4.0,16.0,50.0
2025-01-02 04:00:00,2.020081890684245,9.0,50.0,4.0,16.0,50.0
2025-01-02 05:00:00,2.0207989994103586,9.0,50.0,4.0,16.0,50.0
2025-01-02 06:00:00,2.0215160974362223,9.0,50.0,4.0,16.0,50.0
2025-01-02 07:00:00,2.022233184392917,9.0,50.0,4.0,16.0,50.0
2025-01-02 08:00:00,2.0229502599115303,9.0,50.0,4.0,16.0,50.0
2025-01-02 09:00:00,2.023667323623156,9.0,50.0,4.0,16.0,50.0
2025-01-02 10:00:00,2.0243843751588932,9.0,50.0,4.0,16.0,50.0
2025-01-02 11:00:00,2.0251014141498485,9.0,50.0,4.0,16.0,50.0
2025-01-02 12:00:00,2.025818440227133,9.0,50.0,4.0,16.0,50.0
2025-01-02 13:00:00,2.0265354530218658,9.0,50.0,4.0,16.0,50.0
2025-01-02 14:00:00,2.027252452165173,9.0,50.0,4.0,16.0,50.0
2025-01-02 15:00:00,2.0279694372881876,9.0,50.0,4.0,16.0,50.0
2025-01-02 16:00:00,2.0286864080220486,9.0,50.0,4.0,16.0,50.0
2025-01-02 17:00:00,2.0294033639979037,9.0,50.0,4.0,16.0,50.0
2025-01-02 18:00:00,2.0301203048469083,9.0,50.0,4.0,16.0,50.0
2025-01-02 19:00:00,2.030837230200224,9.0,50.0,4.0,16.0,50.0
2025-01-02 20:00:00,2.031554139689023,9.0,50.0,4.0,16.0,50.0
2025-01-02 21:00:00,2.0322710329444833,9.0,50.0,4.0,16.0,50.0
2025-01-02 22:00:00,2.0329879095977916,9.0,50.0,4.0,16.0,50.0
2025-01-02 23:00:00,2.033704769280144,9.0,50.0,4.0,16.0,50.0
2025-01-03 00:00:00,2.034421611622746,9.0,50.0,4.0,16.0,50.0
2025-01-03 01:00:00,2.0351384362568092,9.0,50.0,4.0,16.0,50.0
2025-01-03 02:00:00,2.0358552428135575,9.0,50.0,4.0,16.0,50.0
2025-01-03 03:00:00,2.036572030924222,9.0,50.0,4.0,16.0,50.0
2025-01-03 04:00:00,2.0372888002200438,9.0,50.0,4.0,16.0,50.0
2025-01-03 05:00:00,2.0380055503322745,9.0,50.0,4.0,16.0,50.0
2025-01-03 06:00:00,2.0387222808921743,9.0,50.0,4.0,16.0,50.0
2025-01-03 07:00:00,2.0394389915310147,9.0,50.0,4.0,16.0,50.0
2025-01-03 08:00:00,2.040155681880077,9.0,50.0,4.0,16.0,50.0
2025-01-03 09:00:00,2.0408723515706515,9.0,50.0,4.0,16.0,50.0
2025-01-03 10:00:00,2.0415890002340418,9.0,50.0,4.0,16.0,50.0
2025-01-03 11:00:00,2.04230562750156,9.0,50.0,4.0,16.0,50.0
2025-01-03 12:00:00,2.0430222330045305,9.0,50.0,4.0,16.0,50.0
2025-01-03 13:00:00,2.0437388163742884,9.0,50.0,4.0,16.0,50.0
2025-01-03 14:00:00,2.0444553772421807,9.0,50.0,4.0,16.0,50.0
2025-01-03 15:00:00,2.0451719152395653,9.0,50.0,4.0,16.0,50.0
2025-01-03 16:00:00,2.0458884299978117,9.0,50.0,4.0,16.0,50.0
2025-01-03 17:00:00,2.046604921148303,9.0,50.0,4.0,16.0,50.0
2025-01-03 18:00:00,2.0473213883224317,9.0,50.0,4.0,16.0,50.0
2025-01-03 19:00:00,2.0480378311516056,9.0,50.0,4.0,16.0,50.0
2025-01-03 20:00:00,2.0487542492672426,9.0,50.0,4.0,16.0,50.0
2025-01-03 21:00:00,2.049470642300775,9.0,50.0,4.0,16.0,50.0
2025-01-03 22:00:00,2.050187009883647,9.0,50.0,4.0,16.0,50.0
2025-01-03 23:00:00,2.050903351647316,9.0,50.0,4.0,16.0,50.0
2025-01-04 00:00:00,2.0516196672232536,9.0,50.0,4.0,16.0,50.0
2025-01-04 01:00:00,2.0523359562429437,9.0,50.0,4.0,16.0,50.0
2025-01-04 02:00:00,2.0530522183378843,9.0,50.0,4.0,16.0,50.0
2025-01-04 03:00:00,2.053768453139588,9.0,50.0,4.0,16.0,50.0
2025-01-04 04:00:00,2.0544846602795794,9.0,50.0,4.0,16.0,50.0
2025-01-04 05:00:00,2.0552008393894,9.0,50.0,4.0,16.0,50.0
2025-01-04 06:00:00,2.055916990100603,9.0,50.0,4.0,16.0,50.0
2025-01-04 07:00:00,2.056633112044759,9.0,50.0,4.0,16.0,50.0
2025-01-04 08:00:00,2.0573492048534514,9.0,50.0,4.0,16.0,50.0
2025-01-04 09:00:00,2.058065268158279,9.0,50.0,4.0,16.0,50.0
2025-01-04 10:00:00,2.058781301590856,9.0,50.0,4.0,16.0,50.0
2025-01-04 11:00:00,2.0594973047828127,9.0,50.0,4.0,16.0,50.0
2025-01-04 12:00:00,2.060213277365793,9.0,50.0,4.0,16.0,50.0
2025-01-04 13:00:00,2.0609292189714585,9.0,50.0,4.0,16.0,50.0
2025-01-04 14:00:00,2.061645129231486,9.0,50.0,4.0,16.0,50.0
2025-01-04 15:00:00,2.0623610077775676,9.0,50.0,4.0,16.0,50.0
2025-01-04 16:00:00,2.0630768542414133,9.0,50.0,4.0,16.0,50.0
2025-01-04 17:00:00,2.0637926682547487,9.0,50.0,4.0,16.0,50.0
2025-01-04 18:00:00,2.0645084494493164,9.0,50.0,4.0,16.0,50.0
2025-01-04 19:00:00,2.065224197456875,9.0,50.0,4.0,16.0,50.0
2025-01-04 20:00:00,2.0659399119092017,9.0,50.0,4.0,16.0,50.0
2025-01-04 21:00:00,2.066655592438089,9.0,50.0,4.0,16.0,50.0
2025-01-04 22:00:00,2.0673712386753493,9.0,50.0,4.0,16.0,50.0
2025-01-04 23:00:00,2.068086850252811,9.0,50.0,4.0,16.0,50.0
2025-01-05 00:00:00,2.06880242680232,9.0,50.0,4.0,16.0,50.0
2025-01-05 01:00:00,2.069517967955741,9.0,50.0,4.0,16.0,50.0
2025-01-05 02:00:00,2.0702334733449574,9.0,50.0,4.0,16.0,50.0
2025-01-05 03:00:00,2.0709489426018703,9.0,50.0,4.0,16.0,50.0
2025-01-05 04:00:00,2.0716643753583988,9.0,50.0,4.0,16.0,50.0
2025-01-05 05:00:00,2.072379771246482,9.0,50.0,4.0,16.0,50.0
2025-01-05 06:00:00,2.0730951298980775,9.0,50.0,4.0,16.0,50.0
2025-01-05 07:00:00,2.0738104509451616,9.0,50.0,4.0,16.0,50.0
2025-01-05 08:00:00,2.0745257340197307,9.0,50.0,4.0,16.0,50.0
2025-01-05 09:00:00,2.0752409787538,9.0,50.0,4.0,16.0,50.0
2025-01-05 10:00:00,2.0759561847794052,9.0,50.0,4.0,16.0,50.0
2025-01-05 11:00:00,2.076671351728601,9.0,50.0,4.0,16.0,50.0
2025-01-05 12:00:00,2.077386479233463,9.0,50.0,4.0,16.0,50.0
2025-01-05 13:00:00,2.0781015669260867,9.0,50.0,4.0,16.0,50.0
2025-01-05 14:00:00,2.0788166144385887,9.0,50.0,4.0,16.0,50.0
2025-01-05 15:00:00,2.0795316214031048,9.0,50.0,4.0,16.0,50.0
2025-01-05 16:00:00,2.0802465874517932,9.0,50.0,4.0,16.0,50.0
2025-01-05 17:00:00,2.0809615122168323,9.0,50.0,4.0,16.0,50.0
